transitionprobs	11	5	2.403771374977103E-5
transitionprobs	11	6	1.878828682724932E-4
transitionprobs	11	7	2.6305962569727194E-4
transitionprobs	11	8	0.0
transitionprobs	11	9	0.0010014707926567148
transitionprobs	11	10	0.029078037927493805
transitionprobs	11	11	0.9370383382043989
transitionprobs	11	12	0.007319705942552724
transitionprobs	11	13	0.02498521776539608
transitionprobs	11	14	6.0113029002853394E-5
transitionprobs	11	15	0.0
transitionprobs	12	1	0.009721692335029114
transitionprobs	12	2	0.0
transitionprobs	12	3	9.509065592224164E-5
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0
transitionprobs	12	6	1.1501259922849495E-4
transitionprobs	12	7	1.0120255634028955E-4
transitionprobs	12	8	0.0
transitionprobs	12	9	0.0031051446855084636
transitionprobs	12	10	0.01254527616772482
transitionprobs	12	11	0.03671201641328029
transitionprobs	12	12	0.826556412862892
transitionprobs	12	13	0.11013710098930816
transitionprobs	12	14	9.11050734765991E-4
transitionprobs	12	15	0.0
transitionprobs	13	1	9.321227155395435E-5
transitionprobs	13	2	0.005042975852387417
transitionprobs	13	3	4.408333817897214E-5
transitionprobs	13	4	0.0
transitionprobs	13	5	3.868184423267543E-6
transitionprobs	13	6	6.091783880418723E-4
transitionprobs	13	7	7.527963296038584E-5
transitionprobs	13	8	3.55496277472224E-4
transitionprobs	13	9	0.007734770885217869
transitionprobs	13	10	5.52166208690282E-4
transitionprobs	13	11	0.012230693828393195
transitionprobs	13	12	0.01107410045299406
transitionprobs	13	13	0.9600103129048929
transitionprobs	13	14	0.002173861774793428
transitionprobs	13	15	0.0
transitionprobs	14	1	0.003174898193537222
transitionprobs	14	2	0.2173302314918437
transitionprobs	14	3	0.0029277703671499993
transitionprobs	14	4	0.13297552916237276
transitionprobs	14	5	0.0020129207193168228
transitionprobs	14	6	0.017017583310782812
transitionprobs	14	7	4.4909118079816896E-4
transitionprobs	14	8	0.001761040843068931
transitionprobs	14	9	0.017001306125082896
transitionprobs	14	10	1.0181901630912793E-4
transitionprobs	14	11	3.293847499983316E-4
transitionprobs	14	12	7.84309038271839E-4
transitionprobs	14	13	0.034174448477116474
transitionprobs	14	14	0.4693261993095145
transitionprobs	14	15	0.1006334680148365
transitionprobs	15	1	7.016078478205375E-4
transitionprobs	15	2	0.02133645214565554
transitionprobs	15	3	0.0
transitionprobs	15	4	0.0016288881225711936
transitionprobs	15	5	1.1307883345002095E-5
transitionprobs	15	6	0.004269807344913822
transitionprobs	15	7	2.513729452690343E-4
transitionprobs	15	8	7.172207412757211E-4
transitionprobs	15	9	0.030778149920514933
transitionprobs	15	10	0.0
transitionprobs	15	11	0.0
transitionprobs	15	12	0.0
transitionprobs	15	13	0.0
transitionprobs	15	14	0.0057997183735018845
transitionprobs	15	15	0.9345054746751319
emissionprobs	1	0	Ctcf	0	0.9980609216063426
emissionprobs	1	0	Ctcf	1	0.0019390783936573805
emissionprobs	1	1	Ezh239875	0	0.9979486248040604
emissionprobs	1	1	Ezh239875	1	0.0020513751959395613
emissionprobs	1	2	H2az	0	0.9990220328752851
emissionprobs	1	2	H2az	1	9.779671247148029E-4
emissionprobs	1	3	H3k09me3	0	0.881744879918046
emissionprobs	1	3	H3k09me3	1	0.11825512008195393
emissionprobs	1	4	H3k27ac	0	0.9999112620528047
emissionprobs	1	4	H3k27ac	1	8.87379471953376E-5
emissionprobs	1	5	H3k27me3	0	0.9981100226763073
emissionprobs	1	5	H3k27me3	1	0.0018899773236927362
emissionprobs	1	6	H3k36me3	0	0.9986923748417348
emissionprobs	1	6	H3k36me3	1	0.0013076251582652479
emissionprobs	1	7	H3k4me1	0	0.9998641632832994
emissionprobs	1	7	H3k4me1	1	1.358367167006402E-4
emissionprobs	1	8	H3k4me2	0	0.9999727533263463
emissionprobs	1	8	H3k4me2	1	2.7246673653806193E-5
emissionprobs	1	9	H3k4me3	0	0.9995785563722772
emissionprobs	1	9	H3k4me3	1	4.21443627722837E-4
emissionprobs	1	10	H3k79me2	0	0.999696094809321
emissionprobs	1	10	H3k79me2	1	3.039051906790293E-4
emissionprobs	1	11	H3k9ac	0	0.999790288853197
emissionprobs	1	11	H3k9ac	1	2.0971114680306597E-4
emissionprobs	1	12	H3k9me1	0	0.9995626660873944
emissionprobs	1	12	H3k9me1	1	4.373339126056682E-4
emissionprobs	1	13	H4k20me1	0	0.9986452143614769
emissionprobs	1	13	H4k20me1	1	0.0013547856385230938
emissionprobs	1	14	Pol2b	0	0.9981542700012668
emissionprobs	1	14	Pol2b	1	0.0018457299987332204
emissionprobs	2	0	Ctcf	0	0.9990845272045105
emissionprobs	2	0	Ctcf	1	9.154727954895084E-4
emissionprobs	2	1	Ezh239875	0	0.9951664559624658
emissionprobs	2	1	Ezh239875	1	0.004833544037534202
emissionprobs	2	2	H2az	0	0.9989547213470402
emissionprobs	2	2	H2az	1	0.0010452786529597915
emissionprobs	2	3	H3k09me3	0	0.9968550884402178
emissionprobs	2	3	H3k09me3	1	0.003144911559782192
emissionprobs	2	4	H3k27ac	0	0.9999828013417555
emissionprobs	2	4	H3k27ac	1	1.7198658244439143E-5
emissionprobs	2	5	H3k27me3	0	0.9978837363826982
emissionprobs	2	5	H3k27me3	1	0.0021162636173017984
emissionprobs	2	6	H3k36me3	0	0.9995086846128367
emissionprobs	2	6	H3k36me3	1	4.913153871632722E-4
emissionprobs	2	7	H3k4me1	0	0.9997924045071571
emissionprobs	2	7	H3k4me1	1	2.075954928428894E-4
emissionprobs	2	8	H3k4me2	0	0.9999682756171963
emissionprobs	2	8	H3k4me2	1	3.172438280379084E-5
emissionprobs	2	9	H3k4me3	0	0.9999629192201717
emissionprobs	2	9	H3k4me3	1	3.70807798283039E-5
emissionprobs	2	10	H3k79me2	0	0.9999271267661738
emissionprobs	2	10	H3k79me2	1	7.287323382624696E-5
emissionprobs	2	11	H3k9ac	0	0.9998172031027852
emissionprobs	2	11	H3k9ac	1	1.827968972148075E-4
emissionprobs	2	12	H3k9me1	0	0.9990688035587455
emissionprobs	2	12	H3k9me1	1	9.31196441254503E-4
emissionprobs	2	13	H4k20me1	0	0.9991030444545257
